00A9,E731
00AE,E736
203C,E704
2049,E703
2122,E732
2139,[ｉ]
2194,E73C
2195,E73D
2196,E697
2197,E678
2198,E696
2199,E6A5
21A9,E6DA
21AA,└→
231A,E71F
231B,E71C
23E9,[>>]
23EA,[<<]
23EB,▲
23EC,▼
23F0,E6BA
23F3,E71C
24C2,E65C
25AA,■
25AB,■
25B6,[>]
25C0,[<]
25FB,■
25FC,■
25FD,■
25FE,■
2600,E63E
2601,E63F
260E,E687
2611,[チェックマーク]
2614,E640
2615,E670
261D,[人差し指]
263A,E6F0
2648,E646
2649,E647
264A,E648
264B,E649
264C,E64A
264D,E64B
264E,E64C
264F,E64D
2650,E64E
2651,E64F
2652,E650
2653,E651
2660,E68E
2663,E690
2665,E68D
2666,E68F
2668,E6F7
267B,E735
267F,E69B
2693,E661
26A0,E737
26A1,E642
26AA,E69C
26AB,E69C
26BD,E656
26BE,E653
26C4,E641
26CE,[蛇使座]
26D4,E72F
26EA,[教会]
26F2,[噴水]
26F3,E654
26F5,E6A3
26FA,[キャンプ]
26FD,E66B
2702,E675
2705,[チェックマーク]
2708,E662
2709,E6D3
270A,E693
270B,E695
270C,E694
270F,E719
2712,E6AE
2714,[チェックマーク]
2716,[×]
2728,E6FA
2733,E6F8
2734,E6F8
2744,[雪結晶]
2747,E6FA
274C,[×]
274E,[×]
2753,[？]
2754,[？]
2755,E702
2757,E702
2764,E6EC
2795,[＋]
2796,[－]
2797,[÷]
27A1,[→]
27B0,E70A
27BF,E6DF
2934,E6F5
2935,E700
2B05,[←]
2B06,[↑]
2B07,[↓]
2B1B,■
2B1C,■
2B50,[☆]
2B55,E6A0
3030,E709
303D,[歌記号]
3297,[祝]
3299,E734
FE0E,
FE0F,
1F004,[麻雀]
1F0CF,[ジョーカー]
1F170,[A]
1F171,[B]
1F17E,[O]
1F17F,E66C
1F18E,[AB]
1F191,E6DB
1F192,[COOL]
1F193,E6D7
1F194,E6D8
1F195,E6DD
1F196,E72F
1F197,E70B
1F198,[SOS]
1F199,[UP!]
1F19A,[VS]
1F1E6,[A]
1F1E7,[B]
1F1E8,[C]
1F1E9,[D]
1F1EA,[E]
1F1EB,[F]
1F1EC,[G]
1F1ED,[H]
1F1EE,[I]
1F1EF,[J]
1F1F0,[K]
1F1F1,[L]
1F1F2,[M]
1F1F3,[N]
1F1F4,[O]
1F1F5,[P]
1F1F6,[Q]
1F1F7,[R]
1F1F8,[S]
1F1F9,[T]
1F1FA,[U]
1F1FB,[V]
1F1FC,[W]
1F1FD,[X]
1F1FE,[Y]
1F1FF,[Z]
1F201,[ココ]
1F202,[サービス]
1F21A,[無]
1F22F,[指]
1F232,E738
1F233,E739
1F234,E73A
1F235,E73B
1F236,[有]
1F237,[月]
1F238,[申]
1F239,[割]
1F23A,[営]
1F250,[得]
1F251,[可]
1F300,E643
1F301,E644
1F302,E645
1F303,E6B3
1F304,E63E
1F305,E63E
1F306,[夕焼け]
1F307,E63E
1F308,[虹]
1F309,E6B3
1F30A,E73F
1F30B,[火山]
1F30C,E6B3
1F30F,[地球]
1F311,E69C
1F313,E69E
1F314,E69D
1F315,E6A0
1F319,E69F
1F31B,E69E
1F31F,[☆]
1F320,☆彡
1F330,[栗]
1F331,E746
1F334,[ヤシ]
1F335,[サボテン]
1F337,E743
1F338,E748
1F339,[バラ]
1F33A,[ハイビスカス]
1F33B,[ひまわり]
1F33C,[花]
1F33D,[とうもろこし]
1F33E,[稲穂]
1F33F,E741
1F340,E741
1F341,E747
1F342,E747
1F343,[風に舞う葉]
1F344,[キノコ]
1F345,[トマト]
1F346,[ナス]
1F347,[ブドウ]
1F348,[メロン]
1F349,[スイカ]
1F34A,[みかん]
1F34C,E744
1F34D,[パイナップル]
1F34E,E745
1F34F,E745
1F351,[モモ]
1F352,E742
1F353,[イチゴ]
1F354,E673
1F355,[ピザ]
1F356,[肉]
1F357,[チキン]
1F358,[せんべい]
1F359,E749
1F35A,E74C
1F35B,[カレー]
1F35C,E74C
1F35D,[パスタ]
1F35E,E74D
1F35F,[ポテト]
1F360,[やきいも]
1F361,[だんご]
1F362,[おでん]
1F363,[すし]
1F364,[エビフライ]
1F365,E643
1F366,[ソフトクリーム]
1F367,[カキ氷]
1F368,[アイスクリーム]
1F369,[ドーナツ]
1F36A,[クッキー]
1F36B,[チョコ]
1F36C,[キャンディ]
1F36D,[キャンディ]
1F36E,[プリン]
1F36F,[ハチミツ]
1F370,E74A
1F371,[弁当]
1F372,[鍋]
1F373,[フライパン]
1F374,E66F
1F375,E71E
1F376,E74B
1F377,E756
1F378,E671
1F379,E671
1F37A,E672
1F37B,E672
1F380,E684
1F381,E685
1F382,E686
1F383,[ハロウィン]
1F384,E6A4
1F385,[サンタ]
1F386,[花火]
1F387,[線香花火]
1F388,[風船]
1F389,[クラッカー]
1F38A,[オメデトウ]
